[2026-07-04 13:10:52] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'inter'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'a55afd4a-b4ce-4e6f-8a02-9e3327b931ad')])
[2026-07-04 15:20:57] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '91d7a081-0f28-4404-843b-7deddcd7c30c')])
[2026-07-04 15:22:50] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '862da394-e4ee-40b6-a7d0-d277b818219b')])
[2026-07-04 15:24:00] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '1ccc0a5a-5d17-44d5-a322-29f84a27adf0')])
[2026-07-04 15:26:00] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'ded6912f-a7a6-4704-b84e-eab5b9349539')])
[2026-07-04 15:31:06] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'ad8d3a0b-6be7-43b9-a479-1da915039a1d')])
[2026-07-04 15:32:48] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '5f344dcb-86b9-43e8-936b-4701cfa7de10')])
[2026-07-04 15:39:41] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '9fbe87f9-cc89-48ef-8548-5c732fc1c516')])
[2026-07-04 15:40:01] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'b5fdba02-ee35-4730-9730-0930fbd04e8b')])
[2026-07-04 15:40:09] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'ac0cf6cf-f196-4991-8231-28d8b159805e')])
[2026-07-04 15:42:00] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'cc7de6b4-29f9-48b1-aa54-d86fdd1dea55')])
[2026-07-04 15:43:44] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'f54f7b96-4468-42b0-be86-0f91a0096d92')])
[2026-07-04 15:47:51] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'a96896b7-e3e3-45e5-80db-e003af0a4f50')])
[2026-07-04 15:49:39] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '45f0b081-5c2d-4f7b-b35a-244592e0dc3a')])
[2026-07-04 15:52:16] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '938b6948-7736-4610-985c-0b9986833f58')])
[2026-07-04 15:54:11] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '028a25d7-d364-4100-b3e0-09e82feabb04')])
[2026-07-04 15:55:46] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '6f5d2a2f-f503-4fc0-bfef-79fc2664a5e7')])
[2026-07-04 15:57:31] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '60743967-0d48-4d5f-8f27-2bab90310866')])
[2026-07-04 15:58:36] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'c32a131c-1a3f-46d3-9bab-1b8e4b7e1848')])
[2026-07-04 16:01:40] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'ce314d1d-df4e-4497-96b0-31f1782506fc')])
[2026-07-04 16:03:31] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '8009e2dd-c966-4e38-97b7-23312511d9e9')])
[2026-07-04 16:04:44] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '0051fe6d-e8cc-4406-ab82-004da6b2db46')])
[2026-07-04 16:06:30] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '4379e152-fe7f-4324-bc53-2756f21def09')])
[2026-07-04 16:11:23] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '0f1327aa-87fa-402a-b4ca-5f2e2c77e397')])
[2026-07-04 16:11:58] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '58352a07-af15-43ec-95f2-3a018c203a4e')])
[2026-07-04 16:16:15] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', '6c86490d-69c5-474d-9b7c-0a974e3a758d')])
[2026-07-04 16:19:10] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'ab60993a-a032-4a59-931a-89e588cfc6b5')])
[2026-07-04 16:20:24] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'eeb8a54d-2a12-40f0-9bf2-998d6147250e')])
[2026-07-04 16:22:35] User ->  Optimization-Leg1 Start Requested JSON -> ImmutableMultiDict([('month', 'july'), ('year', '2026'), ('type', 'intra1'), ('applicable', 'aug'), ('async', '0'), ('client_id', 'admin@pds'), ('job_id', 'c53fa018-d115-4631-972c-1219fc287330')])
